t  lockdown  popDens  tests7  tests14  tests21  tests28  Population  totTests7  totTests14  totTests21  totTests28  y
0  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  0
1  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  0
2  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  2
3  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  2
4  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  6
5  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  11
6  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  12
7  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  17
8  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  21
9  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  29
10  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  35
11  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  52
12  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  80
13  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  107
14  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  148
15  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  197
16  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  233
17  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  366
18  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  464
19  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  631
20  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  827
21  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  1016
22  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  1268
23  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  1441
24  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  1811
25  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  2158
26  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  2505
27  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  2978
28  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  3407
29  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  4032
30  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  4827
31  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  5476
32  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  6077
33  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  6820
34  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  7505
35  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  8165
36  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  9136
37  17  18600  0.265  0.615  1.649  3.499  60360000  15995.4  37121.4  99533.64  211199.6  10023
